id,x,y,w,h,angle
P001,10.0,123.0,91.0,38.0,0.0
P002,10.0,176.0,91.0,38.0,0.0
P003,10.0,228.0,91.0,38.0,0.0
P004,10.0,294.0,91.0,38.0,0.0
P005,10.0,349.0,91.0,38.0,0.0
P006,10.0,456.0,91.0,38.0,0.0
P007,10.0,587.0,91.0,38.0,0.0
P008,10.0,639.0,91.0,38.0,0.0
P009,10.0,810.0,91.0,38.0,0.0
P010,10.0,863.0,91.0,38.0,0.0
P011,10.0,916.0,91.0,38.0,0.0
P012,10.0,969.0,91.0,38.0,0.0
P013,10.0,1031.0,91.0,38.0,0.0
P014,10.0,1084.0,91.0,38.0,0.0
P015,10.0,1135.0,91.0,38.0,0.0
P016,48.0,1220.0,91.0,38.0,-68.79
P017,96.0,1239.19,91.0,38.0,-68.79
P018,144.0,1257.19,91.0,38.0,-68.79
P019,240.0,1291.19,91.0,38.0,-68.79
P020,286.0,1308.19,91.0,38.0,-68.79
P021,374.0,1341.19,91.0,38.0,-68.79
P022,421.0,1360.19,91.0,38.0,-68.79
P023,468.0,1377.19,91.0,38.0,-68.79
P024,516.0,1395.19,91.0,38.0,-68.79
P025,579.0,1417.19,91.0,38.0,-68.79
P026,627.0,1435.19,91.0,38.0,-68.79
P027,926.0,1311.0,91.0,38.0,0.0
P028,926.0,1257.0,91.0,38.0,0.0
P029,926.0,1204.0,91.0,38.0,0.0
P030,926.0,1135.0,91.0,38.0,0.0
P031,926.0,1084.0,91.0,38.0,0.0
P032,926.0,1031.0,91.0,38.0,0.0
P033,926.0,968.0,91.0,38.0,0.0
P034,926.0,917.0,91.0,38.0,0.0
P035,926.0,864.0,91.0,38.0,0.0
P036,926.0,811.0,91.0,38.0,0.0
P037,687.0,745.0,91.0,38.0,0.0
P038,687.0,810.0,91.0,38.0,0.0
P039,687.0,863.0,91.0,38.0,0.0
P040,687.0,916.0,91.0,38.0,0.0
P041,687.0,967.0,91.0,38.0,0.0
P042,687.0,1032.0,91.0,38.0,0.0
P043,687.0,1084.0,91.0,38.0,0.0
P044,687.0,1136.0,91.0,38.0,0.0
P045,584.0,1135.0,91.0,38.0,0.0
P046,584.0,1084.0,91.0,38.0,0.0
P047,584.0,1031.0,91.0,38.0,0.0
P048,584.0,966.0,91.0,38.0,0.0
P049,584.0,915.0,91.0,38.0,0.0
P050,584.0,862.0,91.0,38.0,0.0
P051,584.0,809.0,91.0,38.0,0.0
P052,584.0,744.0,91.0,38.0,0.0
P053,584.0,691.0,91.0,38.0,0.0
P054,584.0,640.0,91.0,38.0,0.0
P055,584.0,587.0,91.0,38.0,0.0
P056,584.0,522.0,91.0,38.0,0.0
P057,584.0,457.0,91.0,38.0,0.0
P058,584.0,404.0,91.0,38.0,0.0
P059,584.0,351.0,91.0,38.0,0.0
P060,584.0,295.0,91.0,38.0,0.0
P061,584.0,230.0,91.0,38.0,0.0
P062,584.0,177.0,91.0,38.0,0.0
P063,584.0,121.0,91.0,38.0,0.0
P064,525.0,13.0,38.0,91.0,0.0
P065,473.0,13.0,38.0,91.0,0.0
P066,422.0,13.0,38.0,91.0,0.0
P067,322.0,13.0,38.0,91.0,0.0
P068,272.0,13.0,38.0,91.0,0.0
P069,208.0,13.0,38.0,91.0,0.0
P070,157.0,13.0,38.0,91.0,0.0
P071,103.0,13.0,38.0,91.0,0.0
P072,340.0,1070.0,91.0,38.0,0.0
P073,340.0,1020.0,91.0,38.0,0.0
P074,340.0,956.0,91.0,38.0,0.0
P075,340.0,876.0,91.0,38.0,0.0
P076,340.0,798.0,91.0,38.0,0.0
P077,340.0,455.0,91.0,38.0,0.0
P078,340.0,401.0,91.0,38.0,0.0
P079,340.0,348.0,91.0,38.0,0.0
P080,340.0,293.0,91.0,38.0,0.0
P081,232.0,294.0,91.0,38.0,0.0
P082,232.0,348.0,91.0,38.0,0.0
P083,232.0,403.0,91.0,38.0,0.0
P084,232.0,456.0,91.0,38.0,0.0
P085,232.0,799.0,91.0,38.0,0.0
P086,232.0,851.0,91.0,38.0,0.0
P087,232.0,904.0,91.0,38.0,0.0
P088,232.0,955.0,91.0,38.0,0.0
P089,232.0,1019.0,91.0,38.0,0.0
